pair,a_to_b,b_to_a,total
2<->3,0,0,0
2<->4,1,8,9
2<->6,0,0,0
2<->7,5283,6668,11951
2<->8,0,0,0
2<->9,0,0,0
2<->11,14,2,16
2<->12,0,0,0
2<->13,0,0,0
2<->14,3282,2105,5387
2<->19,0,0,0
2<->21,2,0,2
2<->22,0,0,0
2<->23,0,0,0
2<->24,6,0,6
2<->25,0,0,0
2<->26,4082,4897,8979
2<->29,0,0,0
2<->33,0,0,0
2<->36,0,0,0
2<->39,0,0,0
3<->4,0,0,0
3<->6,195520,389001,584521
3<->7,0,0,0
3<->8,0,0,0
3<->9,0,0,0
3<->11,0,0,0
3<->12,926,509,1435
3<->13,0,0,0
3<->14,0,0,0
3<->19,71623,87218,158841
3<->21,0,0,0
3<->22,0,0,0
3<->23,0,0,0
3<->24,0,0,0
3<->25,0,0,0
3<->26,1,0,1
3<->29,0,0,0
3<->33,0,0,0
3<->36,229851,391610,621461
3<->39,0,0,0
4<->6,0,0,0
4<->7,0,0,0
4<->8,239,212,451
4<->9,0,0,0
4<->11,487344,213448,700792
4<->12,0,0,0
4<->13,0,0,0
4<->14,0,1,1
4<->19,0,0,0
4<->21,0,0,0
4<->22,0,0,0
4<->23,0,0,0
4<->24,347800,103699,451499
4<->25,0,0,0
4<->26,0,0,0
4<->29,15,8,23
4<->33,438459,332119,770578
4<->36,0,0,0
4<->39,0,0,0
6<->7,0,0,0
6<->8,0,0,0
6<->9,0,0,0
6<->11,0,0,0
6<->12,32326,8017,40343
6<->13,1,0,1
6<->14,0,0,0
6<->19,192420,100548,292968
6<->21,0,0,0
6<->22,0,0,0
6<->23,0,0,0
6<->24,0,0,0
6<->25,0,0,0
6<->26,0,0,0
6<->29,0,0,0
6<->33,0,0,0
6<->36,237509,199548,437057
6<->39,0,0,0
7<->8,0,0,0
7<->9,0,0,0
7<->11,0,0,0
7<->12,0,0,0
7<->13,0,0,0
7<->14,741,638,1379
7<->19,0,0,0
7<->21,126,0,126
7<->22,0,0,0
7<->23,0,0,0
7<->24,0,0,0
7<->25,0,0,0
7<->26,19968,22302,42270
7<->29,0,0,0
7<->33,0,0,0
7<->36,0,0,0
7<->39,392,432,824
8<->9,0,0,0
8<->11,2,1,3
8<->12,0,0,0
8<->13,0,0,0
8<->14,0,0,0
8<->19,0,0,0
8<->21,1452,1403,2855
8<->22,0,0,0
8<->23,0,0,0
8<->24,0,0,0
8<->25,0,0,0
8<->26,415,430,845
8<->29,546806,676969,1223775
8<->33,9,15,24
8<->36,0,0,0
8<->39,8626,14379,23005
9<->11,0,0,0
9<->12,0,0,0
9<->13,471713,304377,776090
9<->14,0,0,0
9<->19,0,0,0
9<->21,0,0,0
9<->22,0,0,0
9<->23,0,0,0
9<->24,0,0,0
9<->25,0,0,0
9<->26,0,0,0
9<->29,0,0,0
9<->33,0,0,0
9<->36,0,0,0
9<->39,0,0,0
11<->12,0,0,0
11<->13,0,0,0
11<->14,0,17,17
11<->19,0,0,0
11<->21,0,0,0
11<->22,0,0,0
11<->23,0,0,0
11<->24,394380,396406,790786
11<->25,0,0,0
11<->26,0,0,0
11<->29,0,0,0
11<->33,373295,545906,919201
11<->36,0,0,0
11<->39,0,0,0
12<->13,0,1,1
12<->14,0,0,0
12<->19,1535,4681,6216
12<->21,0,0,0
12<->22,0,0,0
12<->23,0,0,0
12<->24,0,0,0
12<->25,0,0,0
12<->26,0,0,0
12<->29,0,0,0
12<->33,0,0,0
12<->36,8729,22300,31029
12<->39,0,0,0
13<->14,0,0,0
13<->19,0,1,1
13<->21,0,0,0
13<->22,0,0,0
13<->23,0,0,0
13<->24,0,0,0
13<->25,0,0,0
13<->26,0,0,0
13<->29,0,0,0
13<->33,0,0,0
13<->36,0,0,0
13<->39,0,0,0
14<->19,0,0,0
14<->21,0,0,0
14<->22,0,0,0
14<->23,0,0,0
14<->24,0,0,0
14<->25,0,0,0
14<->26,3880,4269,8149
14<->29,37,10,47
14<->33,0,0,0
14<->36,0,0,0
14<->39,512,666,1178
19<->21,0,0,0
19<->22,0,0,0
19<->23,0,0,0
19<->24,0,0,0
19<->25,0,0,0
19<->26,0,0,0
19<->29,0,0,0
19<->33,0,0,0
19<->36,41104,59485,100589
19<->39,0,0,0
21<->22,0,0,0
21<->23,1145,1132,2277
21<->24,0,0,0
21<->25,778,979,1757
21<->26,28,458,486
21<->29,1017,1347,2364
21<->33,0,0,0
21<->36,0,0,0
21<->39,6,9,15
22<->23,37431,21652,59083
22<->24,0,0,0
22<->25,108836,83616,192452
22<->26,0,0,0
22<->29,0,0,0
22<->33,0,0,0
22<->36,0,0,0
22<->39,0,0,0
23<->24,0,0,0
23<->25,117675,138501,256176
23<->26,61,512,573
23<->29,0,0,0
23<->33,0,1,1
23<->36,0,0,0
23<->39,0,0,0
24<->25,0,0,0
24<->26,0,1,1
24<->29,0,0,0
24<->33,394657,578327,972984
24<->36,0,0,0
24<->39,2682,3574,6256
25<->26,459,818,1277
25<->29,0,0,0
25<->33,0,0,0
25<->36,0,0,0
25<->39,0,0,0
26<->29,647,555,1202
26<->33,15,20,35
26<->36,0,0,0
26<->39,245,49,294
29<->33,0,0,0
29<->36,0,0,0
29<->39,748,1909,2657
33<->36,0,0,0
33<->39,0,66,66
36<->39,0,0,0
